model,accuracy,auc_score,precision,recall,f1_score,training_time
Naive Bayes,0.9581497797356828,0.9556177156177156,0,0,0,0
Logistic Regression,0.9779735682819384,0.9524475524475524,0,0,0,0
Random Forest,0.9581497797356828,0.9372494172494172,0,0,0,0
SVM,0.9669603524229075,0.9393006993006993,0,0,0,0
